@relation 'fcpc_training_data-weka.filters.unsupervised.attribute.Remove-V-R1-20,last'

@attribute fc_corr_4_17 numeric
@attribute pc_corr_21_60 numeric
@attribute fc_corr_15_43 numeric
@attribute fc_corr_36_46 numeric
@attribute pc_corr_20_39 numeric
@attribute pc_corr_6_34 numeric
@attribute fc_corr_2_40 numeric
@attribute pc_corr_1_17 numeric
@attribute fc_corr_19_54 numeric
@attribute fc_corr_6_40 numeric
@attribute fc_corr_2_50 numeric
@attribute pc_corr_6_46 numeric
@attribute fc_corr_14_45 numeric
@attribute fc_corr_20_56 numeric
@attribute fc_corr_36_53 numeric
@attribute pc_corr_38_59 numeric
@attribute pc_corr_8_62 numeric
@attribute fc_corr_13_52 numeric
@attribute fc_corr_38_45 numeric
@attribute pc_corr_33_59 numeric
@attribute is_asd {True,False}

@data

0.553642,0.068752,-0.116884,-0.537631,-0.245015,-0.133652,0.108428,0.343344,0.137774,0.22347,0.435913,-0.317152,-0.479518,-0.429539,0.091172,-0.022965,-0.016576,-0.092904,0.136178,0.037758,True
0.114448,-0.005879,-0.050102,-0.21558,0.102857,0.036577,0.17966,0.061091,-0.107418,0.412605,0.279748,0.167935,-0.168458,-0.04925,-0.228176,-0.052601,-0.101827,0.082674,0.13576,-0.067606,True
0.506371,-0.015944,0.158308,-0.129659,0.161072,-0.039295,0.612188,0.017846,-0.005511,0.456975,0.431601,-0.103217,-0.321401,-0.296811,-0.355084,0.103922,-0.104413,0.319613,0.235138,0.175876,True
0.297269,0.02629,0.063211,-0.337116,-0.031353,0.282727,0.4021,0.162389,0.387201,0.343823,0.235309,0.062252,-0.039061,-0.390729,-0.000701,0.035428,-0.114512,0.044904,0.141218,0.129152,True
0.119648,-0.007773,-0.186057,-0.236796,0.106466,0.09566,0.434992,0.151021,0.048849,0.3814,0.091723,-0.025017,-0.153793,0.061514,-0.25095,0.11156,-0.040017,0.235941,0.089941,-0.147562,True
0.088462,-0.040782,-0.204914,0.014966,0.202814,0.24332,0.525578,0.208276,0.44159,0.690985,0.19355,-0.129336,0.204832,0.060848,-0.223633,0.075025,-0.140686,0.136896,0.046113,-0.026321,True
-0.127371,-0.113424,-0.149008,-0.035657,0.113044,0.265208,0.24551,0.506732,-0.208048,-0.024254,0.257579,0.187546,-0.2271,-0.297411,-0.470022,0.093004,-0.051803,0.005237,0.360497,0.043856,True
0.076232,0.09979,-0.002266,0.159752,-0.08154,0.005791,0.557615,0.324497,0.490457,0.45511,0.237883,-0.137166,0.237675,-0.151819,-0.085499,0.223772,0.013653,0.466286,0.11371,0.116241,True
0.103901,-0.184891,-0.170826,-0.100185,-0.34993,0.386855,0.11576,-0.05498,0.402721,0.146525,0.220427,-0.037613,0.000297,-0.054731,0.134768,-0.124957,0.031669,0.228,-0.124785,-0.178472,True
