experiment,feature_group,classifier,features,true_positives,false_negatives,false_positives,true_negatives,BET_FRACTIONAL_INTENSITY_THRESHOLD,BET_VERTICAL_GRADIENT_THRESHOLD,FEAT_SPATIAL_SMOOTHING_FWHM,FEAT_RESAMPLING_RESOLUTION_MM,FEAT_DELETE_VOLUMES,FEAT_BRAIN_BACKGROUND_THRESHOLD,MELODIC_DIMENSIONALITY_REDUCTION,EFFECTIVE_MELODIC_DIMENSIONALITY_REDUCTION,FEATURES_SELECTED,MELODIC_APPROACH,FIX_THRESHOLD_PARAMETER,FIX_REGRESS_MOTION,DR_PERMUTATIONS,DR_NORMALIZE,accuracy,specificity,sensitivity,precision,f_measure,uniq
v2_group1_dim0_fwhm0_resamp4_fixthr30_bbt10_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a,1-28,33,3,0,36,0.3,0,0,4,3,10,0,68,42,concat,30,1,5000,1,0.9583333333333334,1.0,0.9166666666666666,1.0,0.9565217391304348,0.3#0#0#4#3#10#0#concat#30#1#5000#1
v2_group1_dim0_fwhm2_resamp4_fixthr30_bbt11_maconcat_rm1,fcpc,MultilayerPerceptron,1-46,34,2,1,35,0.3,0,2,4,3,11,0,64,47,concat,30,1,5000,1,0.9583333333333334,0.9722222222222222,0.9444444444444444,0.9714285714285714,0.9577464788732395,0.3#0#2#4#3#11#0#concat#30#1#5000#1
v2_group1_dim0_fwhm4_resamp4_fixthr32_bbt10_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a,1-35,34,2,1,35,0.3,0,4,4,3,10,0,71,40,concat,32,1,5000,1,0.9583333333333334,0.9722222222222222,0.9444444444444444,0.9714285714285714,0.9577464788732395,0.3#0#4#4#3#10#0#concat#32#1#5000#1
v2_group1_dim0_fwhm2_resamp4_fixthr0_bbt9_maconcat_rm1,fcpc,SMO,1-26,33,3,1,35,0.3,0,2,4,3,9,0,54,38,concat,0,1,5000,1,0.9444444444444444,0.9722222222222222,0.9166666666666666,0.9705882352941176,0.9428571428571428,0.3#0#2#4#3#9#0#concat#0#1#5000#1
v2_group1_dim0_fwhm4_resamp4_fixthr32_bbt9_maconcat_rm1,fcpc,MultilayerPerceptron,1-41,33,3,1,35,0.3,0,4,4,3,9,0,63,49,concat,32,1,5000,1,0.9444444444444444,0.9722222222222222,0.9166666666666666,0.9705882352941176,0.9428571428571428,0.3#0#4#4#3#9#0#concat#32#1#5000#1
v2_group1_dim0_fwhm0_resamp4_fixthr30_bbt11_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a_a,1-27,34,2,2,34,0.3,0,0,4,3,11,0,79,29,concat,30,1,5000,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.3#0#0#4#3#11#0#concat#30#1#5000#1
v2_group1_dim25_fwhm0_resamp4_fixthr30_bbt10_maconcat_rm1,fcpc,SMO,1-38,35,1,3,33,0.3,0,0,4,3,10,25,25,49,concat,30,1,5000,1,0.9444444444444444,0.9166666666666666,0.9722222222222222,0.9210526315789473,0.9459459459459458,0.3#0#0#4#3#10#25#concat#30#1#5000#1
v2_group1_dim0_fwhm0_resamp4_fixthr0_bbt11_maconcat_rm1,fcpc,SMO,1-41,35,1,3,33,0.3,0,0,4,3,11,0,78,47,concat,0,1,5000,1,0.9444444444444444,0.9166666666666666,0.9722222222222222,0.9210526315789473,0.9459459459459458,0.3#0#0#4#3#11#0#concat#0#1#5000#1
v2_group1_dim0_fwhm0_resamp4_fixthr31_bbt10_maconcat_rm1,fcpc,SMO,1-23,32,4,1,35,0.3,0,0,4,3,10,0,77,36,concat,31,1,5000,1,0.9305555555555556,0.9722222222222222,0.8888888888888888,0.9696969696969697,0.927536231884058,0.3#0#0#4#3#10#0#concat#31#1#5000#1
v2_group1_dim0_fwhm0_resamp4_fixthr31_bbt9_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a_a,1-27,33,3,2,34,0.3,0,0,4,3,9,0,88,38,concat,31,1,5000,1,0.9305555555555556,0.9444444444444444,0.9166666666666666,0.9428571428571428,0.9295774647887323,0.3#0#0#4#3#9#0#concat#31#1#5000#1
v2_group1_dim0_fwhm2_resamp4_fixthr32_bbt10_maconcat_rm1,fcpc,SMO,1-24,33,3,2,34,0.3,0,2,4,3,10,0,56,33,concat,32,1,5000,1,0.9305555555555556,0.9444444444444444,0.9166666666666666,0.9428571428571428,0.9295774647887323,0.3#0#2#4#3#10#0#concat#32#1#5000#1
v2_group1_dim0_fwhm2_resamp4_fixthr0_bbt11_maconcat_rm1,fcpc,SMO,1-48,33,3,2,34,0.3,0,2,4,3,11,0,76,51,concat,0,1,5000,1,0.9305555555555556,0.9444444444444444,0.9166666666666666,0.9428571428571428,0.9295774647887323,0.3#0#2#4#3#11#0#concat#0#1#5000#1
