experiment,feature_group,classifier,features,true_positives,false_negatives,false_positives,true_negatives,BET_FRACTIONAL_INTENSITY_THRESHOLD,BET_VERTICAL_GRADIENT_THRESHOLD,FEAT_SPATIAL_SMOOTHING_FWHM,FEAT_RESAMPLING_RESOLUTION_MM,FEAT_DELETE_VOLUMES,FEAT_BRAIN_BACKGROUND_THRESHOLD,MELODIC_DIMENSIONALITY_REDUCTION,EFFECTIVE_MELODIC_DIMENSIONALITY_REDUCTION,FEATURES_SELECTED,MELODIC_APPROACH,FIX_THRESHOLD_PARAMETER,FIX_REGRESS_MOTION,DR_PERMUTATIONS,DR_NORMALIZE,accuracy,specificity,sensitivity,precision,f_measure
v2_group1_dim0_fwhm0_resamp4_fixthr30_bbt10_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a,1-28,33,3,0,36,0.3,0,0,4,3,10,0,68,42,concat,30,1,5000,1,0.958333333333333,1,0.916666666666667,1,0.956521739130435
v2_group1_dim0_fwhm2_resamp4_fixthr30_bbt11_maconcat_rm1,fcpc,MultilayerPerceptron,1-46,34,2,1,35,0.3,0,2,4,3,11,0,64,47,concat,30,1,5000,1,0.958333333333333,0.972222222222222,0.944444444444444,0.971428571428571,0.957746478873239
v2_group1_dim0_fwhm2_resamp4_fixthr30_bbt11_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a,1-41,34,2,1,35,0.3,0,2,4,3,11,0,64,47,concat,30,1,5000,1,0.958333333333333,0.972222222222222,0.944444444444444,0.971428571428571,0.957746478873239
v2_group1_dim0_fwhm2_resamp4_fixthr30_bbt11_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a_a,1-43,34,2,1,35,0.3,0,2,4,3,11,0,64,47,concat,30,1,5000,1,0.958333333333333,0.972222222222222,0.944444444444444,0.971428571428571,0.957746478873239
v2_group1_dim0_fwhm2_resamp4_fixthr30_bbt11_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a_a,1-41,34,2,1,35,0.3,0,2,4,3,11,0,64,47,concat,30,1,5000,1,0.958333333333333,0.972222222222222,0.944444444444444,0.971428571428571,0.957746478873239
v2_group1_dim0_fwhm4_resamp4_fixthr32_bbt10_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a,1-35,34,2,1,35,0.3,0,4,4,3,10,0,71,40,concat,32,1,5000,1,0.958333333333333,0.972222222222222,0.944444444444444,0.971428571428571,0.957746478873239
v2_group1_dim0_fwhm2_resamp4_fixthr30_bbt11_maconcat_rm1,fcpc,MultilayerPerceptron__H_a_a,1-39,35,1,2,34,0.3,0,2,4,3,11,0,64,47,concat,30,1,5000,1,0.958333333333333,0.944444444444444,0.972222222222222,0.945945945945946,0.958904109589041
v2_group1_dim0_fwhm4_resamp4_fixthr32_bbt10_maconcat_rm1,fcpc,MultilayerPerceptron,1-35,35,1,2,34,0.3,0,4,4,3,10,0,71,40,concat,32,1,5000,1,0.958333333333333,0.944444444444444,0.972222222222222,0.945945945945946,0.958904109589041
v2_group1_dim0_fwhm0_resamp4_fixthr30_bbt10_maconcat_rm1,fcpc,MultilayerPerceptron,1-28,32,4,0,36,0.3,0,0,4,3,10,0,68,42,concat,30,1,5000,1,0.944444444444444,1,0.888888888888889,1,0.941176470588235
v2_group1_dim0_fwhm0_resamp4_fixthr30_bbt10_maconcat_rm1,fcpc,MultilayerPerceptron,1-27,33,3,1,35,0.3,0,0,4,3,10,0,68,42,concat,30,1,5000,1,0.944444444444444,0.972222222222222,0.916666666666667,0.970588235294118,0.942857142857143
